J0032.9-7348     Pos.: [255]; in SMC: [354]; very strong emission lines: [657]; 
J0032.9-7348     another early-type star within error circle: [657].
J0049-732        Pos.: [255]; in SMC: [327]; likely a Be: [255].
J0049-729        Pos.: [255,355]; in SMC: [354]; two Be stars within error 
J0049-729        circle: [104]; high variability: [355,354].
 0050-727        Pos.: [63]; transient: [95, 96]; projected rotational velocity 
 0050-727        v_r_sini~200km/s: [146].
J0050.7-7316     Pos.: [104]; in SMC: [141]; 
J0050.7-7316     orbital period 0.708 days: [118,616]
J0050.7-7316     ; orbital solution: [104].
J0051-722        Pos.: [132]; in SMC: [461]; X-ray pulsation: [132,334,424]; 
J0051-722        strong emission lines: [657]; opt. spectrum: [657].
J0051.8-7231     Pos.: [354]; in SMC: [354]; X-ray activity: [354]; 
J0051.8-7231     neither AV111 nor star 1 is the opt. counterpart: [657].
J0051.9-7311     Pos.: [141]; unassociated with the supernova remnent DEM 60: 
J0051.9-7311     [141].
J0052.1-7319     Pos.: [255]; in SMC: [399]; highly variable X rays: [353]; 
J0052.1-7319     strong H{alpha} emis. line: [332]; 
J0052.1-7319     P_orb_ likely between 600-700 d: [702].
J0052.9-7158     Pos.: [141]; unlikely the supernova remnant IKT4: [141]; highly
J0052.9-7158     variable in X rays: [141]; trans. supersoft source: [141].
 0053-739        Pos.: [506]; transient: [95, 96]; southern component of a close
 0053-739        pair: [506]; v_r_sini~200km/s: [146].
 0053+604        Pos.: [63]; X-ray spectrum: [219,505,542]; UV observations: 
 0053+604        [51,170,261,273,455]; variable Be star: [235, 456, 739, 769]; 
 0053+604        radial-velocity variations: [343]; v_r_sini~300-500km/s: 
 0053+604        [304,310,489]; system velocity: [721]; comparison with X Per: 
 0053+604        [489, 764]; radio/mm obs.: [179,747]; polarimetry: [101]; 
 0053+604        optical interferometry H{alpha} envelope: [503,687]; non-radial
 0053+604        pulsations: [787]; wind structure: [746]; long-term periodic 
 0053+604        variability in UV absorption: [681]; a WD sys.: [249]; 
 0053+604        multiwavelength obs.: [292,645a]; ISO IR spe. and envelope 
 0053+604        structure: [291].
J0053.8-7226     Pos.: [132]; in SMC: [132]; X-ray pulsations: [132,425]; 
J0053.8-7226     possibly a Be star [425]; spectral type: see [513].
J0054-720        Pos.: [428]; most likely a Be/X-ray system in SMC: [429].
J0055-724        Pos.: [104]; in SMC: [458]; orbital period 14.26 days: [104]; 
J0055-724        very strong emission lines: [657]; consistent with Einstein 
J0055-724        source 2E0053.2-7242: [610].
J0058-72.0       Pos.: [255]; HMXB in SMC (?): [255].
J0058.2-7231     Pos.: [621]; very weak x-ray emission in SMC: [621].
J0059.2-7138     Pos.: [255]; in SMC: [299]; strong H{alpha} emis. line: [299]; 
J0059.2-7138     two compnnts X-ray spe.: [299]; extremely ultrasoft X-ray sp.: 
J0059.2-7138     [299].
J0101.0-7206     Pos.: [354]; in SMC: [354]; very strong H{alpha} emission line:
J0101.0-7206     [657].
J0103-722        Pos.: [104]; in SMC: [334]; consistent with the known supernova
J0103-722        remnant SNR 0101-724 and the Einstein source 1E 0101.5-7225: 
J0103-722        [300]; strong H{alpha} activity in the BeppoSAX error circle: 
J0103-722        [334].
 0103-762        Pos.: [698]; variable X-ray source: [698]; member SMC: [698].
J0105-722        Pos.: [255]; in SMC: [789]; containing six sources: [203]; 
J0105-722        likely a Be/X-ray binary: [203]; multiwavelenth obs.: [203].
J0106.2-7205     Pos.: [356]; consistent with the known supernova remnant 
J0106.2-7205     SNR 0104-72.3 in SMC: [300]; opt/IR obs.: [605].
J0111.2-7317     Pos.: [113]; in SMC: [86]; optical outbursts: [113]; 
J0111.2-7317     very strong emission lines: [332].
 0114+650        Pos.: [63]; X rays: [326,619,785]; 
 0114+650        the longest pulsation period: [133];
 0114+650        opt. spectra: [3,148,446,421]; v_r_sini~45km/s: [3]; opt.
 0114+650        polarimetry: [44]; review multi-wavelength behaviour: [231]; a 
 0114+650        magnetar: [416]; astrophys. parameters: [578]; 
 0114+650        opt. photometry: [680].
 0115+634        Pos.: [347]; X-ray outbursts: [559,590,597,673,697]; 
 0115+634        recurrence time 3 yr (?): [770]; X-ray spectrum: [590,765]; 
 0115+634        X-ray cyclotron line: [272,511,673]; 
 0115+634        opt. pre-outburst behaviour: [393,473]; 
 0115+634        long-term opt. phot.: [473]; opt. spectra: [309,706]; 
 0115+634        v_r_sini~365km/s: [309]; multiwavelength obs. during an 
 0115+634        outburst: [516].
 0115-737        Pos.: [95]; highly variable X-ray source: [629]; pulse timing &
 0115-737        X-ray orbit: [566]; aperiodic X-ray variability: [11]; 
 0115-737        long-term X-ray obs.: [54,247]; X-ray sp. [762,765]; 
 0115-737        opt. lt crv. & system parameters: [375,417,689,725]; 
 0115-737        opt. spectrum & orbit: [312,584]; v_r_sini~200km/s: [312]; 
 0115-737        UV obs.: [56,262,714]; magnetic field strength: [415]; 
 0115-737        orbital decay: [412].
J0117.6-7330     Pos.: [255]; in SMC: [98]; X-ray outburst: [98]; 
J0117.6-7330     IR excess and strong H{alpha} emission: [90,112]; 
J0117.6-7330     projected rotational velocity 145km/s: [649]; 
J0117.6-7330     mass of the Be star 18M_{sun}_: [649]; 
J0117.6-7330     opt. phot. & spectroscopy: [649]; soft X-ray spectrum: [98]; 
J0117.6-7330     hard X-ray spectrum: [439]; black hole candidate: [98].
J0146.9+6121     Pos.: [267]; in open cluster NGC 663: [438]; v_r_sini~250km/s:
J0146.9+6121     [640]; X-ray obs.: [480]; new X-ray outburst: [254]; physical
J0146.9+6121     parameters and V/R veriability: [579].
 0236+610        Pos.: [242]; X-ray source: [48]; radio outbursts: [677,678];
 0236+610        four-year modulation radio outbursts: [185,243,534]; VLBI radio
 0236+610        jet: [467,679]; optical light curve: [472,532,533]; opt.
 0236+610        spectra: [5,308]; orbital solution: [308,463];
 0236+610        v_r_sin i~200km/s: [144]; system velocity: [721]; long-term
 0236+610        optical obs.: [242,423]; IR obs.: [157,303]; 
 0236+610        distance: [216,653]; UV obs.: [294,307,308,445]; 
 0236+610        wind structure: [746]; 
 0236+610        related to {gamma} source CG 135+1(?): [240,276]; 
 0236+610        simultaneous X-ray/radio obs.: [268]; 
 0236+610        black hole candidate: [567]; long-term radio obs.: [572];
 0236+610        multiwavelength obs.: [652]; orbital period detected in
 0236+610        photometry, X-ray and H{alpha} emission line: [535,536,791].
 0331+530        Pos.: [381]; X-ray outbursts: [655,683,771]; X-ray obs.: [444];
 0331+530        rapid X-ray variability: [38]; X-ray cyclotron line: [443];
 0331+530        X-ray pulse phase sp.: [705]; optical id.: [42,381]; optical
 0331+530        spectrum: [661]; v_r_sini~150km/s: [128]; system velocity:
 0331+530        [721]; H{alpha} emission: [338]; IR obs.: [106]; 
 0331+530        wind structure: [746]; 
 0331+530        tilt between orbital and equatorial planes: [514]; QPO: [669].
 0352+309        Pos.: [63]; X-rays: [591,754]; X-ray sp.: [765]; optical id.:
 0352+309        [71]; long-term optical record: [298,422,494]; reported 580 day
 0352+309        period unlikely to be orbital: [306,311,548]; disappearance
 0352+309        emission lines: [520]; system velocity: [721];
 0352+309        v_r_sini~250-400km/s: [306,489,761]; UV obs.: [43,261]; stellar
 0352+309        parameters: [190]; comparison with {gamma} Cas: [489,764]; opt.
 0352+309        polarimetry: [396]; envelope structure: [682]; photometry and
 0352+309        polarimetry obs. during disc loss: [595]; fundamental
 0352+309        parameters: [434]; multiwavelength study: [594].
J0421+560        Pos.: [523]; X-ray outbursts: [643]; multi-wavelength obs.:
J0421+560        [40]; opticle outbursts: [593]; radio obs.: [287]; radio
