   1                      Aab                                 1987, Bull. Spec. Aph. Obs. North Caucasus 25, 26
   2  1983AZh....60.1041A Aab et al.                          
   3  1983PAZh....9..603A Aab et al.                          
   4  1984PAZh...10..918A Aab et al.                          
   5                      Aab et al.                          1984, Bull. Spec. Aph. Obs. North Caucasus 17, 1
   6  1979Natur.279..701A Abell & Margon                      
   7  1977IAUC.3143....1A Allen                               
   8  1984MNRAS.207p..45A Allen                               
   9  1983ApJ...269..605A Anderson et al.                     
  10  1983ApJ...273..697A Anderson et al.                     
  11  1991ApJ...371..332A Anderson et al.                     
  12  1989ApJ...346..906A Angelini et al.                     
  13  1998A&A...339L..41A Angelini et al.                     
  14  1987AZh....64..562A Antokhina & Cherepashchuk           
  15  1985PAZh...11...10A Antokhina & Cherepashchuk           
  16  1992PASJ...44..461A Aoki et al.                         
  17  1978Natur.271..225A Apparao et al.                      
  18  1980A&A....89..249A Apparao et al.                      
  19  1994SSRv...69..255A Apparao                             
  20  1996A&AS..120C.183A Araya & Harding                     
  21  1980ApJ...236L.131A Armstrong et al.                    
  22  1999MNRAS.307..357A Ash et al.                          
  23  1987PAZh...13..879A Aslanov et al.                      
  24  1986AZh....63...94A Asadulaev & Cherepashchuk           
  25  1996ApJ...457..397A Audley et al.                       
  26  1983AZh....60..534B Balog et al.                        
  27  1990MNRAS.245...92B Balona                              
  28  1992A&AS...92..533B Balona et al.                       
  29  2000MNRAS.311..861B Balucinska-church et al.            
  30  1989ApJ...336..937B Band                                
  31  1989ApJ...338..945B Band & Gordon                       
  32  1990ApJ...352L..41B Barr & Van der Woerd                
  33  1985MNRAS.216p..65B Barr et al.                         
  34  2000IAUC.7355Q...1W Baykal et al.                       
  35  1977ApJ...216L..11B Becker et al.                       
  36  1972Natur.245..302B Becklin et al.                      
  37  1990A&A...227L..33B Belloni & Hasinger                  
  38  1990A&A...230..103B Belloni & Hasinger                  
  39  1993A&A...271..487B Belloni et al.                      
  40  1999ApJ...527..345B Belloni et al.                      
  41  1990PAZh...16.1099B Berdnik et al.                      
