 0042+323        Pos.: [1070]; transient: [726,1070,1402]; 
 0042+323        opt. cpt. uncertain: [74].
J0422+32         Pos.: [871]; outburst: [156,991,1160]; hard X-rays: [131,1341];
J0422+32         QPO: [692,1325]; X-ray phase lag: [479,1325]; 
J0422+32         BHC: [157,1042,1243]; opt. cpt.: [157]; 
J0422+32         opt. sp.: [88,151,408,1391]; opt. phm.: [126,193,675]; 
J0422+32         opt. sp. and phm.: [54,159,835,980]; 10 {mu}m emission: [1357];
J0422+32         UV/opt./radio obs.: [1159]; UV/opt. sp.: [591]; opt. sp. and 
J0422+32         phm./X ray: [125]; 16.18 hr period?: [835]; UV sp.: [1158]; 
J0422+32         orbital parameters: [675,980]; M2V star: [365]; 
J0422+32         BHC mass: [66,126,151,365,408]; distance: [126,1159]; 
J0422+32         IR lt. curve: [66]; radio obs.: [493].
 0512-401        Pos.: [475,525]; opt. studies glob. cl.: [2,29,278,528,1109]; 
 0512-401        cluster center: [525,1154]; 
 0512-401        cluster moderately metal poor: [10]; X rays: [124,345]; 
 0512-401        X-ray bursts: [216,225,382]; radio obs.: [785]
 0521-720        Pos.: [103]; X-ray obs.: [1231]; Z source?: [1130,1173]; 
 0521-720        opt. id.: [774,992,993]; 12.5 d orb. period(?): [260]; 
 0521-720        coordinated X-ray/opt. obs.: [89]; opt. spectrum: [89,923]; 
 0521-720        near-IR spectrum: [255].
J0532.7-6926     Pos.: [1119]; in LMC: [484]; black hole candidate (?): [484].
 0614+091        Pos.: [103]; X-ray obs.: [42,1043]; 
 0614+091        X-ray bursts: [108,109,782,1250]; atoll source: [876,1163]; 
 0614+091        kHz QPOs: [374]; kHZ QPO study: [378,1364]; millisecond 
 0614+091        pulsation: [374]; hard/soft X-ray anticorrelated: [377]; 
 0614+091        hard X-ray lag: [375]; opt. cpt.: [287,939]; 
 0614+091        optical spectrum: [786]; coordinated X-ray/opt. obs.: [786]; 
 0614+091        long-term variability: [786,830]; radio obs.: [333]; 
 0614+091        distance: [109].
 0620-003        Pos.: [103]; bright transient 1975: [343,1407]; 
 0620-003        previous outburst 1917: [336]; hard X rays: [233]; 
 0620-003        optical outburst: [967,1407]; 7.8 day modulation in outburst:
 0620-003        [332,771,849,1057,1095,1300,1401];
 0620-003        quiescent X rays: [300,774]; quiescent opt. spectra (K5) & mass
 0620-003        function (BH): [512,635,820,857,858,941]; 
 0620-003        UV obs.: [859,869,1452]
