   1  1969PASAu...1..237A Ables, J.G.                         
   2  1990AJ.....99..817A Alcaino, G. et al.                  
   3  1993ApJ...410..110A Anantharamaiah, K.R. et al.         
   4  1993AJ....106.1049A Anderson, S.F. et al.               
   5  1994ApJ...436..319A Anderson, S.F. et al.               
   6  1990PAZh...16..428A Antokhino et al.                    
   7  1992PASJ...44..641A Aoki, T. et al.                     
   8  1978Natur.271..225A Apparao, K.M.V. et al.              
   9  1984MNRAS.209p..11A Argue, A.N. et al.                  
  10  1988AJ.....96...92A Armandroff, T.E. & Zinn, R.         
  11  1993ApJ...413L.121A Arons, J. & King, I.R.              
  12  1992PASJ...44..633A Asai, K. et al.                     
  13  1993PASJ...45..801A Asai, K. et al.                     
  14  1994PASJ...46..479A Asai, K. et al.                     
  15  1996PASJ...48L..27A Asai, K. et al.                     
  16  1996PASJ...48..257A Asai, K. et al.                     
  17  1997ApJ...490L.149A Atoyan, A.M. & Aharonian, FA.       
  18  1992A&A...265..177A Augusteijn, T. et al.               
  19  1997ApJ...486.1013A Augusteijn, T. et al.               
  20  1999IAUC.7138Q...1I Augusteijn, T. et al.               
  21  1992A&A...263...82A Auriere, M. & Koch-Miramond L.      
  22  1984A&A...138..415A Auriere, M. et al.                  
  23  1986A&A...158..158A Auriere, M. et al.                  
  24  1999IAUC.7254Q...1A Ayani, K. & Peiris, T.C.            
  25  1972ApJ...178L...1B Bahcall, J.N. & Bahcall, N..        
  26  1975PASP...87..141B Bahcall, J.N. & Bahcall, N..        
  27  1992ApJ...391..298B Bailyn, C.                          
  28  1995ApJ...440L..73B Bailyn, C.D. & Orosz, J.A.          
  29  1988ApJ...331..303B Bailyn, C.D. et al.                 
  30  1995Natur.374..701B Bailyn, C.D. et al.                 
  31  1995Natur.378..157B Bailyn, C.D. et al.                 
  32  1995MNRAS.273..722B Ball, L. et al.                     
  33  1993IAUC.5874....1B Ballet, J. et al.                   
  34  1991Natur.353..234B Bally, J. & Leventhal, M.           
  35  1999A&A...349..495B Balucinska-Church, M. et al         
  36  2000MNRAS.312L..55B Balucinska-Church, M. & Chuch, M.J. 
  37  1997MNRAS.285..718B Bandyopadhyay, R.M. et al.          
  38  1998MNRAS.295..623B Bandyopadhyay, R. et al.            
  39  1999MNRAS.306..417B Bandyopadhyay, R.M. et al.          
  40  1997A&AS..122..483B Barbuy, B. et al.                   
  41  1987A&A...176...69B Barr, P. et al.                     
  42  1995ApJ...440..841B Barret, D. & Grindlay, J.E.         
  43  1991ApJ...379L..21B Barret, D. et al.                   
  44  1992ApJ...392L..19B Barret, D. et al.                   
  45  1992ApJ...394..615B Barret, D. et al.                   
  46  1993A&AS...97..241B Barret, D. et al.                   
  47  1995A&A...296..459B Barret, D. et al.                   
  48  1996IAUC.6519R...1B Barret, D. et al.                   
  49  1996ApJ...473..963B Barret, D. et al.                   
  50  1997IAUC.6793Q...1R Barret, D. et al.                   
  51  1998A&A...329..965B Barret, D. et al.                   
  52  1999A&A...341..789B Barret, D. et al.                   
  53  2000ApJ...533..329B Barret, D. et al.                   
  54  1994ApJS...92..455B Bartolini, C. et al.                
  55  1997A&A...325.1035B Barziv, O. et al.                   
  56  1984ApJ...281..337B Basinska, E.M. et al.               
  57  1996ApJ...460..470B Baykal, A. & Swank, J.              
  58  1998A&A...336..173B Baykal, A. et al.                   
  59  1992ApJ...385L..17B Bazzano, A. et al.                  
  60  1997IAUC.6597Q...1B Bazzano, A. et al.                  
  61  1997IAUC.6668Q...1I Bazzano, A. et al.                  
  62  1998IAUC.6873Q...1M Bazzano, A. et al.                  
  63  1976IAUC.2953Q...1B Becker, R.H. et al.                 
  64  1977ApJ...216L.101B Becker, R.H. et al.                 
  65  1996MNRAS.281L...1B Beekman, G. et al.                  
  66  1997MNRAS.290..303B Beekman, G. et al.                  
  67  1972ApJ...171L..87B Belian, R.D. et al.                 
  68  1976ApJ...206L.135B Belian, R.D. et al.                 
  69  1994IAUC.6050....1B Belloni, T.                         
  70  1990A&A...230..103B Belloni, T. & Hasinger, G.          
  71  1991A&A...245L..29B Belloni, T. et al.                  
  72  1993A&A...271..487B Belloni, T. et al.                  
  73  1997ApJ...479L.145B Belloni, T. et al.                  
  74  1997ApJ...488L.109B Belloni, T. et al.                  
  75  1997A&A...322..857B Belloni, T. et al.                  
  76  1999ApJ...519L.159B Belloni, T. et al.                  
  77  1998A&A...340..143B Berger, M. & van der Klis, .        
  78  1996ApJ...469L..13B Berger, M. et al.                   
  79  1994A&A...289..141B Beskin, G. et al.                   
  80  1997A&A...321..477B Bianchini, A. et al.                
  81  1994MNRAS.267..125B Biggs, J.D. et al.                  
  82  1997ApJ...477..897B Bildsten, L. & Brown, E.F.          
  83  1984MNRAS.209..765B Bingham, E.A. et al.                
  84  1984ApJ...278..270B Blair, W.P. et al.                  
  85  1996IAUC.6321Q...1B Blanco, P. et al.                   
  86  1988PAZh...14..992B Bochkarev, N.G. et al.              
  87  1996A&A...305..835B Boeer, M. et al.                    
  88  1995A&A...293L..69B Bonnet-Bidaud, J.M. & Moucht, M.    
  89  1989A&A...213...97B Bonnet-Bidaud, J.M. et al.          
  90  ................... Borisov, N.V.                       *1989, in Proc. 23rd ESLAB Symp. (ESA SP-296), p. 305
  91  1996ApJ...473.1079B Boroson, B. et al.                  
  92  1997ApJ...491..903B Boroson, B. et al.                  
  93  1994IAUC.6083....1B Borozdin, K.N. et al.               
  94  1994IAUC.6088....1B Borozdin, K.N. et al.               
  95  1998PAZh...24..507B Borozdin, K.N. et al.               
  96  1999ApJ...517..367B Borozdin, K.N. et al.               
  97  2000ApJ...533L.131B Borozdin, K.N. et al.               
  98  1996ApJ...462..754B Borrel, V. et al.                   
  99  1984ApJ...285L..67B Bouchacourt, P. et al.              
 100  1973ApJ...186..617B Boynton, P.E. et al.                
 101  1997ApJ...481..489B Bradshaw, C.F. et al.               
 102  1999ApJ...512L.121B Bradshaw, C.F. et al.               
 103  1983ARA&A..21...13B Bradt, H.V. & McClintock, JE.       
 104  1975ApJ...197..443B Bradt, H.V. et al.                  
 105  1977Natur.269..496B Bradt, H.V. et al.                  
 106  1972Natur.236..392B Braes, L.L.E. et al.                
 107  1992A&A...254L..39B Brandt, S. et al.                   
 108  1992A&A...262L..15B Brandt, S. et al.                   
 109  1993A&AS...97..299L Brandt, S. et al.                   
 110  2000ApJL.submitt... Brandt, W.N. & Schulz, N.S.         *2000, ApJL, submitted
 111  1996MNRAS.283.1071B Brandt, W.N. et al.                 
 112  1976MNRAS.175p..47B Branduardi, G. et al.               
 113  1983MNRAS.205..403B Branduardi-Raymont, G. et a.        
 114  1986MNRAS.218..487B Breedon, L.M. et al.                
 115  1995ApJ...442..638B Briggs, M.S. et al.                 
 116  1996IAUC.6290....1B Briggs, M.S. et al.                 
 117  1977ApJ...212..768B Buff, J. et al.                     
 118  1989IAUC.4786.....M Buie, M.W. & Bond, H.E.             
 119  1998IAUC.6815Q...1Q Buxton, M. et al.                   
 120  1991MNRAS.249..573C Callanan, P.J. & Charles, PA.       
 121  1990A&A...240..346C Callanan, P.J. et al.               
 122  1992MNRAS.259..395C Callanan, P.J. et al.               
 123  1995PASJ...47..153C Callanan, P.J. et al.               
 124  1995MNRAS.273..201C Callanan, P.J. et al.               
 125  1995ApJ...441..786C Callanan, P.J. et al.               
 126  1996ApJ...461..351C Callanan, P.J. et al.               
 127  1996ApJ...470L..57C Callanan, P.J. et al.               
 128  1998IAUC.6933Q...1O Callanan, P. et al.                 
 129  1999IAUC.7086Q...1S Callanan, P.J. et al.               
 130  2000A&A...355.1049C Callanan, P.J. et al.               
 131  1992IAUC.5587....1C Camerron, R.A. et al.               
 132  2000ApJ...534L..79C Campana, S.                         
 133  1997A&A...324..941C Campana, S. et al.                  
 134  1998ApJ...499L..65C Campana, S. et al.                  
 135  2000A&A...358..583C Campana, S. et al.                  
 136  2000IAUC.7401Q...1C Campana, S. et al.                  
 137  1994IAUC.6052....1D Campbell-Wilson, D. & Hunstad, R.   
 138  1998IAUC.7010Q...1F Campbell-Wilson, D. et al.          
 139  1975ApJ...197..457C Canizares, C.R. et al.              
 140  1979ApJ...234..556C Canizares, C.R. et al.              
 141  1980ApJ...236L..55C Canizares, C.R. et al.              
 142  1996ApJ...466L..31C Cannizzo, J.H.K.                    
 143  1975IAUC.2852R...1C Carpenter, G.F. et al.              
 144  1977MNRAS.179p..27C Carpenter, G.F. et al.              
 145  1992MNRAS.255....7C Casares, J. & Charles, P.A.         
 146  1994MNRAS.271L...5C Casares, J. & Charles, P.A.         
 147  1991MNRAS.250..712C Casares, J. et al.                  
 148  1992Natur.355..614C Casares, J. et al.                  
 149  1993MNRAS.265..834C Casares, J. et al.                  
 150  1995MNRAS.274..565C Casares, J. et al.                  
 151  1995MNRAS.276L..35C Casares, J. et al.                  
 152  1995MNRAS.277L..45C Casares, J. et al.                  
 153  1998IAUC.6971Q...1F Casares, J. et al.                  
 154  1998ApJ...493L..39C Casares, J. et al.                  
 155  1995IAUC.6223....1C Castro-Tirado, A.J.                 
 156  1992IAUC.5587....1C Castro-Tirado, A.J. et al.          
 157  1993A&A...276L..37C Castro-Tirado, A.J. et al.          
 158  1996ApJ...461L..99C Castro-Tirado, A.J. et al.          
 159  1997A&A...322..507C Castro-Tirado, A.J. et al.          
 160  1998IAUC.7013Q...1M Castro-Tirado, A.J. et al.          
 161  1998ApJ...492..342C Chakrabarty, D.                     
 162  1998Natur.394..346C Chakrabarty, D. & Morgan, H         
 163  1997ApJ...489..254C Chakrabarty, D. & Roche, P.         
 164  1997ApJ...474..414C Chakrabarty, D. et al.              
 165  1997ApJ...481L.101C Chakrabarty, D. et al.              
 166  1998ApJ...497L..39C Chakrabarty, D. et al.              
 167  1992MNRAS.255p...6C Charles, P.A. & Naylor, T.          
 168  1978MNRAS.183p..29C Charles, P.A. et al.                
 169  1980ApJ...237..154C Charles, P.A. et al.                
 170  1980ApJ...241.1148C Charles, P.A. et al.                
 171  1986Natur.323..417C Charles, P.A. et al.                
 172  ................... Charles, P.A. et al.                *1989, in Proc. 23rd ESLAB Symp. (ESA SP-296), p. 103
 173  1991MNRAS.249..567C Charles, P.A. et al.                
 174  1999IAUC.7267R...1C Charles, P.A. et al.                
 175  1996A&A...310..825C Chaty, S. et al.                    
 176  1999IAUC.7284Q...1C Chaty, S. et al.                    
 177  2000IAUC.7394Q...1J Chaty, S. et al.                    
 178  1997ApJ...477L..41C Chen, X. et al.                     
